video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/-7Q6t2R-530,/@trtworld,TRT World,Elon Musk visits Auschwitz after anti-Semitism backlash,20K,7 hours,"Elon Musk visited the Auschwitz concentration camp in Poland, attending a memorial service and taking part in a conference on ...",2024-01-23 19:29:10.184246
/watch?v=7L4OqpeERdY&pp=ygUMYW50aS1zZW1pdGlj,/@msnbc,MSNBC,Unprecedented rise in antisemitic incidents in U.S. after October 7: ADL report,9.3K,1 month,The ADL is reporting a national increase and the highest level of antisemitic incidents in the U.S. in any two-month period in ...,2024-01-23 19:29:10.185601
/shorts/DzuAtLphvpc,/@Houseofhighlights,House of Highlights,Kyrie Telling the Jewish Fans in 'Fight Antisemitism'' shirts that he's grateful for them #shorts,1.4M,1 year,#HouseofHighlights #NBA #shorts.,2024-01-23 19:29:10.186914
/watch?v=NnK0161LrhI&pp=ygUMYW50aS1zZW1pdGlj,/@KTLA5,KTLA 5,L.A. neighbors on edge after man destroys car in apparent anti-Semitic hate crime,7.1K,3 weeks,Neighbors are on edge after video captured a man yelling anti-Semitic remarks outside a Pico-Robertson home before destroying ...,2024-01-23 19:29:10.189298
/watch?v=qwnQ5VhzqDw&pp=ygUMYW50aS1zZW1pdGlj,/@TorontoSun,Toronto Sun,CAUGHT ON CAMERA: Anti-semitic tirade on Vancouver transit,8.4K,1 month,A foul-mouthed Palestinian supporter unleashes an Anti-Semitic tirade on two Jewish woman on Vancouver transit.,2024-01-23 19:29:10.191291
/watch?v=wdv5PD0vR_Y&pp=ygUMYW50aS1zZW1pdGlj,/@CBSEveningNews,CBS Evening News,"Antisemitic incidents on the rise in weeks after Israel-Hamas war, Anti-Defamation League says",23K,2 months,"Threats against Jewish, Muslim and Arab communities in the U.S. are on the rise since the start of the Israel-Hamas war.",2024-01-23 19:29:10.192729
/watch?v=DOBOZH1oLJQ&pp=ygUMYW50aS1zZW1pdGlj,/@SkyNewsAustralia,Sky News Australia,Anti-Semitic hate speech ‘needs to stop’,5.9K,2 months,NSW Member for Vaucluse Kellie Sloan says anti-Semitic hate speech “needs to stop” after two large posters depicting Adolf ...,2024-01-23 19:29:10.194138
/watch?v=uw5TmmAQFpg&pp=ygUMYW50aS1zZW1pdGlj,/@TODAY,TODAY,#JamieLeeCurtis Responds To #KanyeWest’s AntiSemitic Tweets,27K,1 year,"About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give ...",2024-01-23 19:29:10.195481
/watch?v=B2VblrXwldw&pp=ygUMYW50aS1zZW1pdGlj,/@IsraelEnglishNews,ILTV Israel News,Rising Anti-Semitism in London,4.5K,1 day,"Amid an alarming rise in antisemitism across the world, ILTV's Ariella Lahyani headed out in London to hear if people living in ...",2024-01-23 19:29:10.196890
/watch?v=4ekA74X8nQY&pp=ygUMYW50aS1zZW1pdGlj,/@NBCNews,NBC News,‘They mean no Jews’: Israeli president’s global antisemitism warning,17K,2 months,"This is a message that must be heard loud and clear,” said Israeli President Isaac Herzog at the start of a video address warning ...",2024-01-23 19:29:10.198214
/watch?v=gePTPSn3Qsc&pp=ygUMYW50aS1zZW1pdGlj,/@ABC10,ABC10,Anti-Semitic speech at Sacramento city council brings meeting to halt,6.4K,7 months,Anti-Semitic speech at Sacramento city council brings meeting to halt The Sacramento City Council meeting got heated after some ...,2024-01-23 19:29:10.199599
/watch?v=e6naBsGdbeQ&pp=ygUMYW50aS1zZW1pdGlj,/@abc7news,ABC7 News Bay Area,Jewish parents call Oakland teachers' pro-Palestinian resolution 'anti-Semitic',4.1K,2 months,Jewish OUSD parents gathered on Friday to protest a pro-Palestinian resolution passed by the Oakland Education Association ...,2024-01-23 19:29:10.200904
/watch?v=uSC1K0K9JUc&pp=ygUMYW50aS1zZW1pdGlj,/@SkyNewsAustralia,Sky News Australia,"‘Racist taunt, after racist taunt’: Anti-Semitic protesters ‘march for peace’",116K,2 months,Spiked Online Editor Tom Slater says British people are scared after seeing the rise of an “anti-Semitic street protest movement”.,2024-01-23 19:29:10.202253
/watch?v=IxXepfoTbMw&pp=ygUMYW50aS1zZW1pdGlj,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Cornell student arrested over Anti-Semitic threats | LiveNOW from FOX,229K,2 months,Threatening statements about Jews on an internet discussion board have unnerved students at Cornell University and prompted ...,2024-01-23 19:29:10.203518
/watch?v=eTsEE98FnhQ&pp=ygUMYW50aS1zZW1pdGlj,/@thehill,The Hill,"VIOLENT, ANTI-SEMITIC Threats At Cornell TERRIFY Campus, Jewish Students: Robby Soave",90K,2 months,Jessica Burbank and Robby Soave react to escalation of violence against Jewish people on college campuses across the U.S. ...,2024-01-23 19:29:19.691339
/shorts/q9g9iprvL5I,/@NBCNews,NBC News,#NY Man Charged With #HateCrime After Allegedly Targeting #Jewish Father And Son,9M,1 year,"A New York man faces multiple charges, including assault as a hate crime, after allegedly firing a BB gun at a Jewish father and ...",2024-01-23 19:29:19.693995
/watch?v=N_qRVNwkhP0&pp=ygUMYW50aS1zZW1pdGlj,/@AtlantaNewsFirst,Atlanta News First ,Anti-semitic protest held outside Jewish Community Center in Cobb Co.,3.2K,6 months,A peaceful rally was held at a Jewish Community Center in Marietta on Saturday evening. SUBSCRIBE and turn on notifications ...,2024-01-23 19:29:19.695810
/watch?v=QHCXLW2ndVY&pp=ygUMYW50aS1zZW1pdGlj,/@SkyNewsAustralia,Sky News Australia,The chilling wave of anti-Semitism consuming the west,33K,2 months,Jewish people are fighting wars on two fronts- one with Hamas and the other with progressive anti-semites in the West.,2024-01-23 19:29:19.697710
/watch?v=VteTGEsqX7s&pp=ygUMYW50aS1zZW1pdGlj,/@SkyNewsAustralia,Sky News Australia,Jews facing anti-Semitic attacks alone as activists are ‘nowhere to be seen’,23K,2 months,Sky News contributor Megyn Kelly has slammed activist “allies” who are remaining silent while anti-Israel protests continue across ...,2024-01-23 19:29:19.699434
